"USE THESE AUTHORS																																																																																																																																																																												"
"Maherali	 N.	 #	 Sridharan	 R.	 #	 Xie	 W.	 #	 Utikal	 J.	 #	 Eminli	 S.	 #	 Arnold	 K.	 #	 Stadtfeld	 M.	 #	 Yachechko	 R.	 #	 Tchieu	 J.	 #	 Jaenisch	 R.	 #	 Plath	 K.	 #	 Hochedlinger	 K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Funa	 N.S.	 #	 Schachter	 K.A.	 #	 Lerdrup	 M.	 #	 Ekberg	 J.	 #	 Hess	 K.	 #	 Dietrich	 N.	 #	 Honoré	 C.	 #	 Hansen	 K.	 #	 Semb	 H.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Ding	 J.	 #	 Huang	 X.	 #	 Shao	 N.	 #	 Zhou	 H.	 #	 Lee	 D.-F.	 #	 Faiola	 F.	 #	 Fidalgo	 M.	 #	 Guallar	 D.	 #	 Saunders	 A.	 #	 Shliaha	 P.V.	 #	 Wang	 H.	 #	 Waghray	 A.	 #	 Papatsenko	 D.	 #	 Sánchez-Priego	 C.	 #	 Li	 D.	 #	 Yuan	 Y.	 #	 Lemischka	 I.R.	 #	 Shen	 L.	 #	 Kelley	 K.	 #	 Deng	 H.	 #	 Shen	 X.	 #	 Wang	 J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Li	 M.	 #	 Gou	 H.	 #	 Tripathi	 B.K.	 #	 Huang	 J.	 #	 Jiang	 S.	 #	 Dubois	 W.	 #	 Waybright	 T.	 #	 Lei	 M.	 #	 Shi	 J.	 #	 Zhou	 M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Zhao	 B.	 #	 Zhang	 W.-D.	 #	 Duan	 Y.-L.	 #	 Lu	 Y.-Q.	 #	 Cun	 Y.-X.	 #	 Li	 C.-H.	 #	 Guo	 K.	 #	 Nie	 W.-H.	 #	 Li	 L.	 #	 Zhang	 R.	 #	 Zheng	 P.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Miki	 K.	 #	 Endo	 K.	 #	 Takahashi	 S.	 #	 Funakoshi	 S.	 #	 Takei	 I.	 #	 Katayama	 S.	 #	 Toyoda	 T.	 #	 Kotaka	 M.	 #	 Takaki	 T.	 #	 Umeda	 M.	 #	 Okubo	 C.	 #	 Nishikawa	 M.	 #	 Oishi	 A.	 #	 Narita	 M.	 #	 Miyashita	 I.	 #	 Asano	 K.	 #	 Hayashi	 K.	 #	 Osafune	 K.	 #	 Yamanaka	 S.	 #	 Saito	 H.	 #	 Yoshida	 Y.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Wilson	 N.K.	 #	 Kent	 D.G.	 #	 Buettner	 F.	 #	 Shehata	 M.	 #	 Macaulay	 I.C.	 #	 Calero-Nieto	 F.J.	 #	 Sánchez Castillo	 M.	 #	 Oedekoven	 C.A.	 #	 Diamanti	 E.	 #	 Schulte	 R.	 #	 Ponting	 C.P.	 #	 Voet	 T.	 #	 Caldas	 C.	 #	 Stingl	 J.	 #	 Green	 A.R.	 #	 Theis	 F.J.	 #	 Göttgens	 B.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Yamashita	 M.	 #	 Nitta	 E.	 #	 Suda	 T.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Pietras	 E.M.	 #	 Reynaud	 D.	 #	 Kang	 Y.A.	 #	 Carlin	 D.	 #	 Calero-Nieto	 F.J.	 #	 Leavitt	 A.D.	 #	 Stuart	 J.A.	 #	 Göttgens	 B.	 #	 Passegué	 E.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Wu	 Z.	 #	 Wei	 D.	 #	 Gao	 W.	 #	 Xu	 Y.	 #	 Hu	 Z.	 #	 Ma	 Z.	 #	 Gao	 C.	 #	 Zhu	 X.	 #	 Li	 Q.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Larsimont	 J.-C.	 #	 Youssef	 K.K.	 #	 Sánchez-Danés	 A.	 #	 Sukumaran	 V.	 #	 Defrance	 M.	 #	 Delatte	 B.	 #	 Liagre	 M.	 #	 Baatsen	 P.	 #	 Marine	 J.-C.	 #	 Lippens	 S.	 #	 Guerin	 C.	 #	 Del Marmol	 V.	 #	 Vanderwinden	 J.-M.	 #	 Fuks	 F.	 #	 Blanpain	 C.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Masserdotti	 G.	 #	 Gillotin	 S.	 #	 Sutor	 B.	 #	 Drechsel	 D.	 #	 Irmler	 M.	 #	 Jørgensen	 H.F.	 #	 Sass	 S.	 #	 Theis	 F.J.	 #	 Beckers	 J.	 #	 Berninger	 B.	 #	 Guillemot	 F.	 #	 Götz	 M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Wu	 H.	 #	 Lee	 J.	 #	 Vincent	 L.G.	 #	 Wang	 Q.	 #	 Gu	 M.	 #	 Lan	 F.	 #	 Churko	 J.M.	 #	 Sallam	 K.I.	 #	 Matsa	 E.	 #	 Sharma	 A.	 #	 Gold	 J.D.	 #	 Engler	 A.J.	 #	 Xiang	 Y.K.	 #	 Bers	 D.M.	 #	 Wu	 J.C.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Hiler	 D.	 #	 Chen	 X.	 #	 Hazen	 J.	 #	 Kupriyanov	 S.	 #	 Carroll	 P.A.	 #	 Qu	 C.	 #	 Xu	 B.	 #	 Johnson	 D.	 #	 Griffiths	 L.	 #	 Frase	 S.	 #	 Rodriguez	 A.R.	 #	 Martin	 G.	 #	 Zhang	 J.	 #	 Jeon	 J.	 #	 Fan	 Y.	 #	 Finkelstein	 D.	 #	 Eisenman	 R.N.	 #	 Baldwin	 K.	 #	 Dyer	 M.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Chen	 Y.	 #	 Niu	 Y.	 #	 Li	 Y.	 #	 Ai	 Z.	 #	 Kang	 Y.	 #	 Shi	 H.	 #	 Xiang	 Z.	 #	 Yang	 Z.	 #	 Tan	 T.	 #	 Si	 W.	 #	 Li	 W.	 #	 Xia	 X.	 #	 Zhou	 Q.	 #	 Ji	 W.	 #	 Li	 T.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Nelson	 A.M.	 #	 Reddy	 S.K.	 #	 Ratliff	 T.S.	 #	 Hossain	 M.Z.	 #	 Katseff	 A.S.	 #	 Zhu	 A.S.	 #	 Chang	 E.	 #	 Resnik	 S.R.	 #	 Page	 C.	 #	 Kim	 D.	 #	 Whittam	 A.J.	 #	 Miller	 L.S.	 #	 Garza	 L.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Kwon	 H.Y.	 #	 Bajaj	 J.	 #	 Ito	 T.	 #	 Blevins	 A.	 #	 Konuma	 T.	 #	 Weeks	 J.	 #	 Lytle	 N.K.	 #	 Koechlein	 C.S.	 #	 Rizzieri	 D.	 #	 Chuah	 C.	 #	 Oehler	 V.G.	 #	 Sasik	 R.	 #	 Hardiman	 G.	 #	 Reya	 T.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Cai	 X.	 #	 Gao	 L.	 #	 Teng	 L.	 #	 Ge	 J.	 #	 Oo	 Z.M.	 #	 Kumar	 A.R.	 #	 Gilliland	 D.G.	 #	 Mason	 P.J.	 #	 Tan	 K.	 #	 Speck	 N.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Sasaki	 K.	 #	 Yokobayashi	 S.	 #	 Nakamura	 T.	 #	 Okamoto	 I.	 #	 Yabuta	 Y.	 #	 Kurimoto	 K.	 #	 Ohta	 H.	 #	 Moritoki	 Y.	 #	 Iwatani	 C.	 #	 Tsuchiya	 H.	 #	 Nakamura	 S.	 #	 Sekiguchi	 K.	 #	 Sakuma	 T.	 #	 Yamamoto	 T.	 #	 Mori	 T.	 #	 Woltjen	 K.	 #	 Nakagawa	 M.	 #	 Yamamoto	 T.	 #	 Takahashi	 K.	 #	 Yamanaka	 S.	 #	 Saitou	 M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Li	 X.	 #	 Zuo	 X.	 #	 Jing	 J.	 #	 Ma	 Y.	 #	 Wang	 J.	 #	 Liu	 D.	 #	 Zhu	 J.	 #	 Du	 X.	 #	 Xiong	 L.	 #	 Du	 Y.	 #	 Xu	 J.	 #	 Xiao	 X.	 #	 Wang	 J.	 #	 Chai	 Z.	 #	 Zhao	 Y.	 #	 Deng	 H.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Hu	 W.	 #	 Qiu	 B.	 #	 Guan	 W.	 #	 Wang	 Q.	 #	 Wang	 M.	 #	 Li	 W.	 #	 Gao	 L.	 #	 Shen	 L.	 #	 Huang	 Y.	 #	 Xie	 G.	 #	 Zhao	 H.	 #	 Jin	 Y.	 #	 Tang	 B.	 #	 Yu	 Y.	 #	 Zhao	 J.	 #	 Pei	 G.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Park	 C.-Y.	 #	 Kim	 D.H.	 #	 Son	 J.S.	 #	 Sung	 J.J.	 #	 Lee	 J.	 #	 Bae	 S.	 #	 Kim	 J.-H.	 #	 Kim	 D.-W.	 #	 Kim	 J.-S.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Zhong	 C.	 #	 Yin	 Q.	 #	 Xie	 Z.	 #	 Bai	 M.	 #	 Dong	 R.	 #	 Tang	 W.	 #	 Xing	 Y.-H.	 #	 Zhang	 H.	 #	 Yang	 S.	 #	 Chen	 L.-L.	 #	 Bartolomei	 M.S.	 #	 Ferguson-Smith	 A.	 #	 Li	 D.	 #	 Yang	 L.	 #	 Wu	 Y.	 #	 Li	 J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Chen	 Y.	 #	 Cao	 J.	 #	 Xiong	 M.	 #	 Petersen	 A.J.	 #	 Dong	 Y.	 #	 Tao	 Y.	 #	 Huang	 C.T.-L.	 #	 Du	 Z.	 #	 Zhang	 S.-C.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"He	 Q.	 #	 Kim	 H.	 #	 Huang	 R.	 #	 Lu	 W.	 #	 Tang	 M.	 #	 Shi	 F.	 #	 Yang	 D.	 #	 Zhang	 X.	 #	 Huang	 J.	 #	 Liu	 D.	 #	 Songyang	 Z.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Caputo	 L.	 #	 Witzel	 H.R.	 #	 Kolovos	 P.	 #	 Cheedipudi	 S.	 #	 Looso	 M.	 #	 Mylona	 A.	 #	 Van Ijcken	 W.F.J.	 #	 Laugwitz	 K.-L.	 #	 Evans	 S.M.	 #	 Braun	 T.	 #	 Soler	 E.	 #	 Grosveld	 F.	 #	 Dobreva	 G.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Morey	 L.	 #	 Santanach	 A.	 #	 Blanco	 E.	 #	 Aloia	 L.	 #	 Nora	 E.P.	 #	 Bruneau	 B.G.	 #	 Di croce	 L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Pak	 C.	 #	 Danko	 T.	 #	 Zhang	 Y.	 #	 Aoto	 J.	 #	 Anderson	 G.	 #	 Maxeiner	 S.	 #	 Yi	 F.	 #	 Wernig	 M.	 #	 Südhof	 T.C.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Llorens-Bobadilla	 E.	 #	 Zhao	 S.	 #	 Baser	 A.	 #	 Saiz-Castro	 G.	 #	 Zwadlo	 K.	 #	 Martin-Villalba	 A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Kikushige	 Y.	 #	 Miyamoto	 T.	 #	 Yuda	 J.	 #	 Jabbarzadeh-Tabrizi	 S.	 #	 Shima	 T.	 #	 Takayanagi	 S.-I.	 #	 Niiro	 H.	 #	 Yurino	 A.	 #	 Miyawaki	 K.	 #	 Takenaka	 K.	 #	 Iwasaki	 H.	 #	 Akashi	 K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Zhao	 T.	 #	 Zhang	 Z.-N.	 #	 Westenskow	 P.D.	 #	 Todorova	 D.	 #	 Hu	 Z.	 #	 Lin	 T.	 #	 Rong	 Z.	 #	 Kim	 J.	 #	 He	 J.	 #	 Wang	 M.	 #	 Clegg	 D.O.	 #	 Yang	 Y.-G.	 #	 Zhang	 K.	 #	 Friedlander	 M.	 #	 Xu	 Y.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Shin	 J.	 #	 Berg	 D.A.	 #	 Zhu	 Y.	 #	 Shin	 J.Y.	 #	 Song	 J.	 #	 Bonaguidi	 M.A.	 #	 Enikolopov	 G.	 #	 Nauen	 D.W.	 #	 Christian	 K.M.	 #	 Ming	 G.-L.	 #	 Song	 H.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Hamilton	 L.K.	 #	 Dufresne	 M.	 #	 Joppé	 S.E.	 #	 Petryszyn	 S.	 #	 Aumont	 A.	 #	 Calon	 F.	 #	 Barnabé-Heider	 F.	 #	 Furtos	 A.	 #	 Parent	 M.	 #	 Chaurand	 P.	 #	 Fernandes	 K.J.L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Iwasaki	 M.	 #	 Liedtke	 M.	 #	 Gentles	 A.J.	 #	 Cleary	 M.L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Haas	 S.	 #	 Hansson	 J.	 #	 Klimmeck	 D.	 #	 Loeffler	 D.	 #	 Velten	 L.	 #	 Uckelmann	 H.	 #	 Wurzer	 S.	 #	 Prendergast	 Á.M.	 #	 Schnell	 A.	 #	 Hexel	 K.	 #	 Santarella-Mellwig	 R.	 #	 Blaszkiewicz	 S.	 #	 Kuck	 A.	 #	 Geiger	 H.	 #	 Milsom	 M.D.	 #	 Steinmetz	 L.M.	 #	 Schroeder	 T.	 #	 Trumpp	 A.	 #	 Krijgsveld	 J.	 #	 Essers	 M.A.G.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Ho	 L.	 #	 Tan	 S.Y.X.	 #	 Wee	 S.	 #	 Wu	 Y.	 #	 Tan	 S.J.C.	 #	 Ramakrishna	 N.B.	 #	 Chng	 S.C.	 #	 Nama	 S.	 #	 Szczerbinska	 I.	 #	 Chan	 Y.-S.	 #	 Avery	 S.	 #	 Tsuneyoshi	 N.	 #	 Ng	 H.H.	 #	 Gunaratne	 J.	 #	 Dunn	 N.R.	 #	 Reversade	 B.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Ohgushi	 M.	 #	 Minaguchi	 M.	 #	 Sasai	 Y.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Galonska	 C.	 #	 Ziller	 M.J.	 #	 Karnik	 R.	 #	 Meissner	 A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Kolodziejczyk	 A.A.	 #	 Kim	 J.K.	 #	 Tsang	 J.C.H.	 #	 Ilicic	 T.	 #	 Henriksson	 J.	 #	 Natarajan	 K.N.	 #	 Tuck	 A.C.	 #	 Gao	 X.	 #	 Bühler	 M.	 #	 Liu	 P.	 #	 Marioni	 J.C.	 #	 Teichmann	 S.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"D'Addio	 F.	 #	 La Rosa	 S.	 #	 Maestroni	 A.	 #	 Jung	 P.	 #	 Orsenigo	 E.	 #	 Ben Nasr	 M.	 #	 Tezza	 S.	 #	 Bassi	 R.	 #	 Finzi	 G.	 #	 Marando	 A.	 #	 Vergani	 A.	 #	 Frego	 R.	 #	 Albarello	 L.	 #	 Andolfo	 A.	 #	 Manuguerra	 R.	 #	 Viale	 E.	 #	 Staudacher	 C.	 #	 Corradi	 D.	 #	 Batlle	 E.	 #	 Breault	 D.	 #	 Secchi	 A.	 #	 Folli	 F.	 #	 Fiorina	 P.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Kurmann	 A.A.	 #	 Serra	 M.	 #	 Hawkins	 F.	 #	 Rankin	 S.A.	 #	 Mori	 M.	 #	 Astapova	 I.	 #	 Ullas	 S.	 #	 Lin	 S.	 #	 Bilodeau	 M.	 #	 Rossant	 J.	 #	 Jean	 J.C.	 #	 Ikonomou	 L.	 #	 Deterding	 R.R.	 #	 Shannon	 J.M.	 #	 Zorn	 A.M.	 #	 Hollenberg	 A.N.	 #	 Kotton	 D.N.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Benchetrit	 H.	 #	 Herman	 S.	 #	 Van Wietmarschen	 N.	 #	 Wu	 T.	 #	 Makedonski	 K.	 #	 Maoz	 N.	 #	 Yom Tov	 N.	 #	 Stave	 D.	 #	 Lasry	 R.	 #	 Zayat	 V.	 #	 Xiao	 A.	 #	 Lansdorp	 P.M.	 #	 Sebban	 S.	 #	 Buganim	 Y.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Kubaczka	 C.	 #	 Senner	 C.E.	 #	 Cierlitza	 M.	 #	 Araúzo-Bravo	 M.J.	 #	 Kuckenberg	 P.	 #	 Peitz	 M.	 #	 Hemberger	 M.	 #	 Schorle	 H.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Ng	 S.-Y.	 #	 Soh	 B.S.	 #	 Rodriguez-Muela	 N.	 #	 Hendrickson	 D.G.	 #	 Price	 F.	 #	 Rinn	 J.L.	 #	 Rubin	 L.L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Saito	 Y.	 #	 Chapple	 R.H.	 #	 Lin	 A.	 #	 Kitano	 A.	 #	 Nakada	 D.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
